,Odds Ratio,p-value
const,0.6520315904235106,0.007903604643790729
Region_2,0.8284870175203017,0.1316232535628664
Region_3,0.6250006517356711,0.0005554804654414483
Region_4,1.12461125253261,0.3646727731530438
Region_5,1.1967680633781594,0.10437745202812873
Region_6,0.5508568682205081,0.0003024513188601521
Region_7,1.154633445223489,0.1912122573251146
Region_8,0.5644685028022068,2.2705298311413407e-05
Region_9,0.7374773423393295,0.011570361652677373
Region_10,0.7135361960365567,0.02085084665297009
Region_11,0.5266496555184952,0.004202706821908682
Region_12,0.6594467018528956,0.0022869934806916846
Type_Residence_2,1.2487442419488861,0.0008433930961958372
Niveau_Education_1,0.6433478671918196,9.906840052027976e-11
Niveau_Education_2,0.3084103347866839,2.7105858768852465e-49
Niveau_Education_3,0.064211083988633,1.0072146214602801e-44
Religion_2,0.9971726860819125,0.9628069703074297
Religion_3,1.1207337207138923,0.22914906824159986
Religion_4,2.1028584161101045,1.2481074865542813e-29
Religion_5,1.1505670547664835,0.3853007201778792
Religion_7,0.9636951434491602,0.8263982072203797
Religion_96,0.6567453934491686,0.31505172365960743
Indice_Richesse_2,1.0392621045055674,0.6115239846065073
Indice_Richesse_3,0.9928017606937755,0.9351210661926679
Indice_Richesse_4,0.933245863267432,0.5277439429002164
Indice_Richesse_5,0.7915619780396187,0.060568219299257604
Statut_Emploi_1,1.3779223979522357,3.483675627923432e-09
Ecoute_Radio_1,0.9418079717096428,0.36190947443836285
Ecoute_Radio_2,0.9571196556522845,0.5383055591759374
Regarde_TV_1,1.1537418647812172,0.09190940097595056
Regarde_TV_2,0.9406669093783959,0.4293427512845026
Age_Actuel,1.0054548754639667,0.048976245330016106
